	ㄱᆏㄱ
	ᅇㅖ
	ᅇㅛ
	ᅇㅜ
	ᅇㅝ
	ᅇㅠ
	ᅇㅣ
	ᅈㅣ
	ᅋㅏ
	ᅋㅗ
	ㆁㅏ
	ㆁㅐ
	ㆁㅑ
	ㆁㅓ
	ㆁㅔ
	ㆁㅕ
	ㆁㅖ
	ㆁㅗ
	ㆁㅚ
	ㆁㅛ
	ㆁㅜ
	ㆁㅟ
	ㆁㅡ
	ㆁㅢ
	ㆁㅣ
	ㆁᆞ
	ㆁᆡ
	ㅈᆈ
	ㅈᆎ
	ㅈᆑ
	ㅈᆏ
	ㅈᆖ
	ㅈᆞ
	ㅈᆡ
	ㅉᆞ
	ㅉᆡ
	ᅎㅏ
	ᅎㅠ
	ᅎㅣ
	ㅊᆈ
	ㅊᆉ
	ㅊᆌ
	ㅊᆐ
	ㅊㆋ
	ㅊᆏ
	ㅊᆞ
	ㅊᆡ
	ᅕㅏ
	ᅕㅕ
	ᅕㅗ
	ᅕㅟ
	ᅕㅣ
	ㅋᆞ
	ㅋᆡ
	ㅌᆈ
	ㅌᆏ
	ㅌᆞ
	ㅌᆡ
	ㅍㅛ
	ㅍㅜ
	ㅍᆏ
	ㅍᆞ
	ㅍᆡ
	ㅎㅏ
	ㅎㅏ
	ㅎᆀ
	ㅎᆈ
	ㅎᆉ
	ㅎᆌ
	ㅎᆏ
	ㅎᆖ
	ㅎᆘ
	ㅎᆞ
	ㅎᆟ
	ㅎᆡ
	ㆅㅏ
	ㆅㅐ
	ㆅㅓ
	ㆅㅕ
	ㆅㅗ
	ㆅㅘ
	ㆅㅚ
	ㆅㅟ
	ㆅᆑ
	ㆅㅡ
	ㆅㅣ
	ㆅᆞ
	ㆅᆡ
	ㆆㅏ
	ㆆㅐ
	ㆆㅓ
	ㆆㅗ
	ㆆㅘ
	ㆆㅜ
	ㆆㅟ
	ㆆㅠ
	ㆆᆑ
	ㆆㅡ
	ㆆㅢ
	ㆆㅣ
	ㆆᆞ
	ㆆᆡ
	ㅲㅘ
	ㅾㅐ
	ㅾᆈ
